Nro,Job Title,Description,Majors/Concentrations,Qualifications
25,Especialista en Mercados Energéticos,"Elaborar el estudio del Nivel Óptimo de Contratación.
Elaborar los estudios para proyectar los costos marginales del SEIN para el corto, mediano y largo plazo. Proponer e implementar mejoras en los Modelos de Simulación y automatizar el ingreso de información.
Analizar el comportamiento de la competencia en el sector energético Peruano.
Evaluar la gestión de riesgos y optimización del portafolio de ENGIE.
Analizar los diferentes estudios energéticos elaborados por el COES.
Analizar y estudiar el sector de gas natural (suministro, transporte y distribución).
Participar en la elaboración del Presupuesto Comercial de ENGIE.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Ingeniería Eléctrica o Ingeniería Mecánica – Eléctrica. 
Deseable 3 años o más de experiencia en puestos con funciones similares.
Conocimiento avanzado del funcionamiento y el marco regulatorio de los mercados de electricidad y gas natural.
Conocimiento avanzado de cálculo de costos marginales de corto y largo plazo; así como, de contratos y precios de electricidad y gas natural.
Amplio dominio de Modelos Perseo y NCP. Conocimiento de Modelos SDDP y Plexus.
Conocimiento de análisis de gestión de riesgos y optimización de portafolio.
Nivel intermedio de inglés."
26,PROGRAMADOR FRONT END,"• Realizar el desarrollo de estructura de un web site (HTML Y CSS).
• Hacer la implementación de SEO en portales.
• Desarrollar funcionalidades e interacciones (Javascrpit).
• Realizar la integración de aplicaciones.","BIBLIOTECOLOGÍA, CIENCIAS DE LA INFORMACIÓN, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","• Experiencia mínima de 2 años programando Front End.
• Experiencia y manejo en HTML5, CSS y JS.
• Experiencia en metodologías ágiles."
27,PROGRAMADOR BACKEND PHP,"• Desarrollar aplicaciones para plataforma web.
• Realizar la integración de aplicaciones.
• Analizar los sistemas.
• Diseñar y desarrollar aplicaciones con base de datos.
• Generar documentos o entregables técnicos.","BIBLIOTECOLOGÍA, CIENCIAS DE LA INFORMACIÓN, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","• Experiencia mínima de 2 años en posiciones similares dominando PHP versión 5, orientado a objetos.
• Experiencia en manejo de Zend framework versión 1 y 2 utilizando git."
28,Practicante de Laboratorio,"Generar informes y reportes de resultados de ensayos.
Coordinación y seguimiento de tareas.
Configuración de los mandos electrónicos de los productos para ser derivados a las líneas de producción
Otras que se le asigne temporalmente de acuerdo a la necesidad del área.","INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Universitario de Ingeniería Mecánica y/o Mecatrónica.
Conocimiento de Office, autocad, mechanical desktop y MS Project.
Microsoft Excel intermedio.
Inglés a nivel avanzado.
Alemán básico (deseable)."
29,Jefe de Mantenimiento,"1. Realizar el cronograma de mantenimiento preventivo y asegurar su cumplimiento para garantizar la seguridad en los parques.
2. Actualizar el reporte de fallas diariamente y coordinar para que se realice el mantenimiento correctivo respectivo. Enviar los reportes dos veces a la semana.
3. Enviar todos los lunes la asistencia de los colaboradores de mantenimiento.
4. Mantener al día el inventario de máquinas de los locales y el inventario de repuestos.
5. Supervisar y formar a su asistente para que cumpla con los reportes necesarios.
6. Coordinar con todos sus subordinados el local donde deben ir y las tareas que deben realizar, buscando optimizar los tiempos de trabajo.
7. Elaborar un plan de mejoras a los locales (iluminación, seguridad, innovación) para un mejor servicio de atención al público y llevarlo a cabo.
8. Llevar el control de gastos del área de mantenimiento e intentar reducirlos para el beneficio de la empresa.
9. Coordinar con proveedores y terceros para la implementación de nuevos locales.
10. Generar los requerimientos de repuestos y consumibles del área de mantenimiento y realizar las compras o autorizar lo que se compra o no se compra.
11. Garantizar operatividad de los parques llevando control de las licencias (INDECI) y permisos que se requieran.
12. Cualquier otra actividad destinada por gerencia.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Experiencia mínima de 5 años en puestos afines.
Conocimientos sobre mantenimientos preventivos, correctivos y predictivos. 
Riesgos que involucran los distintos trabajos y las medidas de precaución que deben observarse en los mismos.
Manejo de MS Office a nivel intermedio
Prácticas, métodos, herramientas, materiales y equipos utilizados en el mantenimiento y reparaciones de maquinarias.
De preferencia con brevete A1 para cualquier eventualidad."
30,Practicante Ingeniero,"-	Manejo y seguimiento de reportes e indicadores internos.
-	Realizar actividades de pre-venta técnica a través de presentaciones y demostraciones de soluciones Microsoft.
-	Realizar talleres para incrementar el uso de la tecnología en los clientes.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","Nivel de ingles intermedio 
no se requiere experiencia"
31,Técnico Mecánico de Mantenimiento,"1. Garantizar la seguridad de todas las atracciones mecánicas (Carros
Chocones, gusanito, carrusel, trenes) a través de un buen mantenimiento preventivo mecánico.
2. Realizar mantenimiento correctivo a los distintos juegos de la
empresa: Carros Chocones, gusanito, carrusel, trenes.
3. Cumplir con los cronogramas de mantenimiento, así como también con las
tareas encargadas por el Jefe de Mantenimiento.
4. Realizar mantenimiento a los motores de los carros chocones.
5. Ajustar poleas, fajas, cadenas, piñones del activo que necesite para
su óptimo funcionamiento.
6. Soldar metales (acero y hierro fundido) cuando algún activo requiera
este tipo de reparación.
7. Diseñar y fabricar estructuras metálicas para la optimización de
cualquier atracción.
8. Apoyar en la implementación de nuevas tiendas y locales.
9. Cualquier otra actividad destinada por el Jefe de Mantenimiento.","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Requisitos del puesto:
Edad: 18-35 años.
Estudios técnico básicos
Estudiante último ciclo o egresado de SENATI
Experiencia mínima de 1 año en puestos afines.
Conocimiento y experiencia en trabajos con poleas, fajas, transmisión por  cadena, piñones.
Conocimientos básicos sobre mantenimientos preventivos, correctivos y predictivos."
32,Jefe de Taller de mantenimiento y ensamble,"Gestión de los ensambles de vehículos.
Gestión de los mantenimientos de vehículos.
Monitoreo de área de mantenimiento de distribuidores.
Atención a clientes por servicio postventa (mantenimineto/reclamos)","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA",
33,Responsable Comercial - Área Ciberseguridad,"Diseñar estrategias comerciales y planes de mercadeo que conduzcan al cumplimiento de las metas del área.                                                                                 

Establecer contactos que conduzcan a la consecución de clientes institucionales que garanticen el cumplimiento de metas comerciales exigidas para el negocio.                                                         

Buscar contactos personalizados con clientes potenciales, con el propósito de dar a conocer  los servicios y productos de la Compañía en materia de Ciberseguridad.                                        

Analizar y evaluar el mercado a través de diferentes fuentes y con base en este estudio, establecer estrategias y pautas comerciales que sirvan como herramientas de trabajo para el área.                

Evaluar y controlar los resultados de las estrategias comerciales  con respecto al cumplimiento de las metas de las áreas.                                                                           

Presentar oportunamente ante la Dirección de Ciberseguridad los informes e indicadores de gestión que permitan evaluar el resultado de la gestión de su área.

Evaluar junto a la Dirección de Ciberseguridad y el Controller, el cumplimiento en los resultados e indicadores obtenidos, de acuerdo con la participación presupuestada para cada una de las Gerencias Regionales.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","Experiencia mínima de 3 años en ventas de Ciberseguridad, ocupando cargos como Gerente o Jefe del área comercial.

Profesional universitario.  

Cursos en Seguridad de la Información."
34,Supervisor de Sistemas y Electrónico,"• Dar mantenimiento preventivo y correctivo a todos los videojuegos de la empresa, garantizando la operatividad de todos estos.
• Brindar soporte técnico para la atracción Laser Quest y simuladores.
• Apoyar en las implementaciones eléctricas de los nuevos proyectos.
• Brindar soporte técnico a los correos corporativos, configuraciones de internet, y mantenimiento de PC’s & laptops.
• Liderar el plan de seguridad y operatividad de cámaras, realizando descargas de información y monitoreo remoto.
• Dar mantenimiento preventivo a las tarjetas electrónicas de los activos de la empresa (unipersonales, arcade, carros chocones, carruseles, trencitos, gusanito, simulador).
• Cualquier otra actividad destinada por el Jefe de Mantenimiento.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","• Experiencia mínima 2 años en puestos similares. 
• Conocimientos y experiencia en trabajos con tarjetas electrónicas, amplificadores, tableros eléctricos, temporizadores, variadores, sensores, etc.
• Conocimiento de sistemas (software y hardware).
• Conocimientos básicos sobre mantenimientos preventivos, correctivos y predictivos. 
• Manejo intermedio de office."
35,Practicante para Ingeniería - Área de CAD,"Desarrollo de planos en 2D y 3D de ingeniería básica y de detalle.
Desarrollo de modelos en 3D para el departamento de investigación y desarrollo de nuestra sede en USA.
Colaborar en los proyectos de innovación y mejoras del grupo CAD.","INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Dominar el diseño 3D en alguno de los siguientes programas: AutoCAD o Inventor.
Habilidad de asimilar gran cantidad de información en poco tiempo.
Habilidad para la programación (puede ser en cualquier lenguaje informático).
Conocimiento de desarrollo de planos de piezas mecánica y estructurales, tolerancias y mecanizados.
Disponibilidad de tiempo para el cumplimiento de las 30 horas de prácticas pre-profesionales exigidas por ley.
Conocimientos de los programas Naviswork y Revit.
Tener un nivel avanzando de inglés: hablado y escrito."
36,SUPERVISOR DE SOPORTE Y POST VENTA,"Realiza el mantenimiento y crecimiento de sus cuentas
Supervisa y asegura la realización de atención de los servicios  programados o planificados, durante los 7 días de la semana
Responsable de dirigir la ejecución de reparación de equipos
Capacita al cliente en el uso de las plataformas
Realiza monitoreo de todas sus cuentas
Responsable de coordinaciones directas con el supervisor técnico de campo
Elaboración de informes periódicos sobre los resultados de su gestión
Responsable de la atención vía telefónica
Canaliza atenciones y las solicitudes presentadas por los clientes en el ERP
Actualización base de datos (Simd cards y chips), envío de pedidos, cancelaciones o suspensiones
Documenta procedimientos de trabajo técnico (área)
Apoyo en la gestión de instalaciones
Supervisar que se realice los requerimientos solicitados en el ERP.
Actualiza los documentos contractuales, contratos, vigencias, ficha Ruc, y demás documentos requeridos 
Es responsable de hacer seguimiento al desarrollo de solicitudes de clientes
Realiza las diversas actividades inherentes a su línea de negocio
Analiza  e impulsa la  evolución de su producto según la necesidad del mercado
Configuración de equipos
Creación de Scripts 
Realiza la cadena de tareas de inicio a fin de toda su línea de negocio","ADMINISTRACIÓN, ADMINISTRACIÓN DE NEGOCIOS, ADMINISTRACIÓN DE NEGOCIOS GLOBALES, ADMINISTRACIÓN ESTRATÉGICA DE EMPRESAS, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INDUSTRIAL CON MENCIÓN EN GESTIÓN DE OPERACIONES, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","Dominio del Idioma Ingles a Nivel Intermedio-Avanzado	
Dominio Alto de Herramientas informáticas y relativas a la tecnología"
